"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont y yo no estamos de acuerdo en muchas cosas, pero él fue sabio al reconocer lo peligroso que es hacer enfadar al Semblante del Vacío. No me emociona el Tratado de Claszureme, la verdad. La cronomancia era increíble. Pero, ¿sabes qué otra cosa es increíble? Que no te borren de la línea del tiempo."
"DCG_VO_vanessa_whispers_of_madness"	"Pierpont siempre me advierte que no me meta en cosas que no entiendo. La mayoría de las veces es de lo más arrogante, pero a veces tiene razón. Bueno, casi siempre, al fin y al cabo, no me he muerto del todo. Ahora que lo pienso, en realidad es de lo más arrogante siempre..."
"DCG_VO_vanessa_relentless_zombie"	"Los muertos se están levantando en Rosoideo, Knogh... Alguien hizo el juramento."
"DCG_VO_vanessa_howling_mind"	"No sucede a menudo, pero de vez en cuando se permite que un mago salga de la Hacienda Tyler, aunque cuando lo hace... cambia para siempre."
"DCG_VO_vanessa_aghanims_sanctum"	"Sin duda, Aghanim es el mejor mago de todos los tiempos. Es incuestionable. Nadie ha estado jamás a su nivel. Por eso, cuando un día desapareció, no nos preguntamos \"cómo\", sino \"por qué\". Hay quien dice que se escondió porque temía por su vida, pero no me lo creo. Yo creo que Aghanim está tramando algo importante, algo que cambiará el mundo."
"DCG_VO_vanessa_arcane_assault"	"Rubick asegura ser hijo de Aghanim. No sé si creérmelo, pero jamás se lo diría a Rubick."
"DCG_VO_vanessa_glyph_of_confusion"	"Es un mundo peligroso, y cuando un buen porcentaje de las personas que conoces te quieren ver muerto... aprendes a tomar ciertas precauciones."
"DCG_VO_vanessa_the_tyler_estate"	"La mayoría del mundo mágico reconoce la autoridad del Cónclave Zafiro. Pero en Rosa Llorona, nos gobernamos a nosotros mismos y solo respondemos ante el Cuórum: un senado compuesto por 31 poderosos magos. Aunque en Rosa Llorona no hay muchas reglas, las pocas que existen se cumplen a ciegas, porque si no, te envían a la Hacienda Tyler."
"DCG_VO_ogre_bruiser_intro"	"Luchar es como aplastarle el cráneo a alguien con el tronco de un árbol. ¡Qué metáfora!"
"DCG_VO_ogre_brusier_fighting_instinct"	"La vida es una serie de personas que quieren matarte. ¡Mátalas tú primero!"
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"Un arma..."
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"Siempre es mejor que un puño."
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"No es una roca, pero servirá."
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"La manejo como si hubiera nacido con ella en la mano."
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>risitas</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"No creo que esto me quede."
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"Nadie me está matando."
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"Con esto no perderé sangre."
